id,State,City,FAA,IATA,ICAO,Airport
196,Missouri,Springfield,SGF,SGF,KSGF,Springfield–Branson National Airport
197,Montana,Billings,BIL,BIL,KBIL,Billings Logan International Airport
198,Montana,Bozeman,BZN,BZN,KBZN,Bozeman Yellowstone International Airport (was Gallatin Field)
199,Montana,Butte,BTM,BTM,KBTM,Bert Mooney Airport
200,Montana,Great Falls,GTF,GTF,KGTF,Great Falls International Airport
201,Montana,Helena,HLN,HLN,KHLN,Helena Regional Airport
202,Montana,Kalispell,GPI,FCA,KGPI,Glacier Park International Airport
203,Montana,Missoula,MSO,MSO,KMSO,Missoula Montana Airport (was Missoula International Airport)
204,Montana,West Yellowstone,WYS,WYS,KWYS,Yellowstone Airport
205,Nebraska,Grand Island,GRI,GRI,KGRI,Central Nebraska Regional Airport
206,Nebraska,Kearney,EAR,EAR,KEAR,Kearney Regional Airport (was Kearney Municipal)
207,Nebraska,Lincoln,LNK,LNK,KLNK,Lincoln Airport (was Lincoln Municipal)
208,Nebraska,North Platte,LBF,LBF,KLBF,North Platte Regional Airport (Lee Bird Field)
209,Nebraska,Omaha,OMA,OMA,KOMA,Eppley Airfield
210,Nebraska,Scottsbluff,BFF,BFF,KBFF,Western Nebraska Regional Airport (William B. Heilig Field)
211,Nevada,Boulder City,BVU,BLD,KBVU,Boulder City Municipal Airport
212,Nevada,Elko,EKO,EKO,KEKO,Elko Regional Airport (J.C. Harris Field)
213,Nevada,Las Vegas,LAS,LAS,KLAS,Harry Reid International Airport
214,Nevada,Reno,RNO,RNO,KRNO,Reno/Tahoe International Airport
215,Nevada,Manchester,MHT,MHT,KMHT,Manchester–Boston Regional Airport
216,Nevada,Portsmouth,PSM,PSM,KPSM,Portsmouth International Airport at Pease
